Post,comments
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
        Pierre-Etienne Sirder
      
 According to KPMG, in 2016 there were 268 deep learning specialists at Google, 236 at Microsoft, 168 at NVIDIA, 160 at IBM, 130 at Intel, 104 at Samsung, 93 at Amazon, 69 at Qualcomm , 67 at Apple, 43 at Cisco ... and 15 at Ford - the only automaker present and 26 th of this list of 30 firms. (The 30th is Boeing, employer of 7 deep learning specialists.)
- Note that at MIT for example there are only 33 deep learning specialists (and 11 at KPMG)"
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
        Jed Dalupang
      
 Ford's door latch issues are truly annoying.  Say, for example the EcoSport tailgate lock which placed its brand in jeopardy.  In just 2 years or 60,000km use, the door latch of EcoSport was in trouble.  If not for the vehicle's warranty coverage, it would have been a total mess.  Sacrificing the quality of your car to pave way for a slight feature innovation is a wrong move.  Imagine driving  your car a few kilometers with a damaged tailgate door lock to a nearest Ford Service center?  You'll need a DIY thing to hold the car's rear door tied from the inside.  Better utilize standard door locks which gets damaged above 5 years, sometimes 10 years.  "
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
        Vineet Bhatnagar
      
 Great - however no one can beat ford India talent , Lot of escalations made and smart team was not able to have a grip on dealership. I am sure lot of customers have problem with india ford dealers , hope Bill can take some actions  to fix them as well. Just Hope .. .. I have draft in a mail to Nigel harris ( ceo ) as well . he was also silent when it comes to take actions on dealership .. I still appreciate the Ford India Talented and skilled team though customer satisfaction is missing somewhere .. I bet will never buy Ford vehicle again !!"
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
        Vineet Bhatnagar
      
 Just in case ,Bill..services request # 800141156 - 800141875 ... "
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
        Jim Syazli
      
 Hi Ford, my Ford Kuga have engine overheat issue for 2nd time. I have googled and found out in south africa this car is being re called. When are you going to recall the car in Malaysia? It have been 2 weeks without car and it is really problematic for me. Please help me out"
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
        Ernesto Reaso
      
 ...Ford Fiesta has overheating and TCM issues here in Philippines, luckily my fiesta is doing well in 4 years (crossing my fingers) but my fellow fiesta owners are really disappointed with this problems, we hope that ford could address these concerns"
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
        Flavio Graf
      
 Congratulations Ford Motor Company for getting rid of Mark Fields. Bring back Alan Mulally !"
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
        Gene Billero
      
 How about a Dream team of true car folks to brink ideas to the forefront like in the 50's and 60's! Ford did have a better Idea!! Count me in."
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
 Alexander Kelleher
      
 Sounds like a great app

"
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
        Dave Dumont
      
 Hope to see this for my new #bronco

"
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
    
 very cool!!

"
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","Rick Calabro
      
 SMARTER
"
" Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.
","
 
Amir Shousha
      
 Ismail Makhlouf"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
        Calvin Ing
      
 
    Seems like a lot of these features are not available in Canada... Is there a reason behind that?"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
        Rob Grantham
      
 I have three Ford vehicles..just waiting to start into the new offerings...Happy Easter!!
"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
Gloria I. Spencer, LCB, CCS
      
 Just got my new Ford Escape and use the FordPass app to start my car and AC! The Sync lets me do hands-free calls to the contacts on my phone, play music or find a place using voice commands. I'm in love!




Load previous replies

      Load previous replies on Gloria I. Spencer, LCB, CCS’ comment
    
 


"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
        John Arrowsmith
      
 A great example of the industry fully embracing technology. Looks like a great application.



"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
        Atikulla Merchant
      
 Zarak Khan Remember we were discussing about building an app which would help us know our vehicle better. These guys have built something similar.

"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
Bruno Pedro
      
 Look at this Svetlana Bianca de Mesquita


"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
        Joshua Celestine
      
 NEEDS A SERIOUS BULLION GOLD SELLER
Buyer works with this procedure:
 
 you send us your FCO
 
if ok we confirm to send us the Contract and the NCNDA
 
after have signed the contract the Buyer's bank will confirm by MT799 that the buyer will pay after receiving and verification.
 
the Seller send the Gold
 
the Buyer's bank will pay by swift MT103 after receiving and verification.


"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
        ADRIANO DIAS CARVALHO
      
 I would like to have the opportunity to talk to an entrepreneur of this grade


"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
        Lais Santana
      
 https://www.linkedin.com/in/lais-santana-aab80255/

"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
        Jason Lee Thompson, MA
      
 You could use the water for water injection to cool combustion. Also fill up windshield washers. Here is a similar technology that extracts water from the exhaust. Water vapor is the most powerful greenhousegas. https://www.energy.gov/americas-next-top-energy-innovator/borla-performance-industries-inc"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
David Lew
      
 Yea Doug!
"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
        Tim DeWitt
      
 It's like Ripper tried to tell (Group Captain) Mandrake that time, ""pure fresh water...""
"
" Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.
","
 
        Dinesh Babulal Jain
      
 Hello 
I m mumbai base Dinesh jain dealing in import licence Dfia/ Shis /MEIS/ FPS if any one interested to buy or sell  its save your duty and it's fully transferable as per FTP 2014 to 2019 
kindly contact +919833887978
info@bdintl.in
…see more
"
" Bill Ford shares Ford's plan to solve mobility challenges in cities like #Detroit and others worldwide.
","
 
        steve sun
      
 pls help Chinese  ford mondeo（fusion）customer settle the odour pls
"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Devendra Patil, Ph.D.
      
 nice innovation...

"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Sergio Entrena
      
 Hey I think it's great idea, propose it for developping countries, off road etc. Countries surrounding arid areas (Sahara, Atacama, Death Valley, Arizona) could be neatly interested. Ambulances, frontier police, military. 
Also, for a powertrain engineer, I'm surprised to see that he hasn't come up with turning that water into steam and injecting it to the engine, boosting efficiency up to 20% on big V8 engines while at the same reducing emissions, boosting engine lifespread ( as you can monitor this produced steam ). I think bmw had an i
dea on this direction, called turbosteamer
…see more
"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Robert (Bob) Inglis
      
 Everyone is discouraging drink driving and Ford are promoting it. What next, a gps in the dash







"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Rza Hüseynov
      
 F O R D   





"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Joseph Sikora
      
 Hydrogen fuel cells work , why not drinking water systems to filter out fluoride and chloride out of the water .







"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Mandar Desai
      
 H2Ovation






"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Ara Eden Lee
      
 Love this.








"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Brad Atherton
      
 Good work by Doug Marin.  Now can this work for the Hydrogen-powered engine  of which the main byproduct is H20???  Instead of a catalytic converter I envision a water faucet!






"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Brea Khalid. MBA
      
 that is fantastic!



"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Bouchikhi Onecoin
      
 https://www.onelife.eu/signup/Abdelhafidgood3


"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Furkan Eke
      
 Drinking pure water out of a fuel cell car sounds like a nice thing until first person dies from hyponatremia.



Joseph Pegram
      
 If that's the only thing they consume, maybe..
"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Tejas Shah
      
 STANTEC HVAC CONSULTANT
103 Aagam Complex 
Nr. Vasna tel. Exchange
Vasna
Ahmedabad – 380 007
India
Tel Fax: - 91 79 26631673
e-mail :- stantec.con@gmail.com
Mobile :- +91 9825024651
"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Rakesh Kumar
      
 Dear Friends, 
This is regarding my car Eco Sports,  as i newly purchased Eco sports, and Unfortunately I met with an accident on dated 21st January 2017, So I left it on dated 23rd January 2017 at Delhi Ford body Shop for repair it. 
But I am very sorry to say that I am very upset due to its more than 2 month (60 days) & my car is still not repaired due to require parts are not available at body shop as week as with FORF too, As Body Shop Manger confirmed, that Ford is not dispatching  the parts while he has requested to dispatch the same many times to Ford Chennai.
I have already mailed to Form customer care many times but not satisfactory results. 

So request you guys, please forwards this massage to your all friends.. so that they can take correct decision in case of they are thinking to buy car
Rgds
Rk Solanki
9871899044
"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Sachin Chawla
      
 cool, great job"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Marc Hewitt
      
 Ryan Ockerby it's for real"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Bruno Ribeiro Lima
      
 Very poor car maker.
I have an automatic Ecosport 2015 that is a 60 day stop at the dealership with factory warranty waiting for exchange exchange and they say they are at fault and have no exchange forecast.
If a car is currently being produced they have no part to provide you imagine having a little older car. You have to pray for no maintenance.




"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Adil Riaz, PMP
      
 Finally...




"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Kent G Anderson
      
 Global 1st Online FUTURE COUNTRY start up seeks inventors . over 17 years USA -Europe -ideas and FUTURE ,. www.futurevisionaries.com . http://www.gofundme.com/wcqgf2a 
"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Carrie Harris
      
 Nice!

"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Noah M. Provenzano
      
 Alexa Armstrong"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
","
 
        Julie Soltis
      
 Now if they would just add a drop down tray on the back of the seat like on an airplane!





Like

   Julie Soltis’ comment


Reply to Julie Soltis’ comment


Reply


3 Likes

      3 Likes on Julie Soltis’ comment
    



"
" We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.
…see more
"," Hina Noor
      
 Ahsan Qamar"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
Tony Bustamante
      
 Where were you when my kids were toddlers and we were driving to DisneyWorld??!!"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
      
 looks nice"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
        Tejas Shah
      
 STANTEC HVAC CONSULTANT
103 Aagam Complex 
Nr. Vasna tel. Exchange
Vasna
Ahmedabad – 380 007
India
Tel Fax: - 91 79 26631673
e-mail :- stantec.con@gmail.com
Mobile :- +91 9825024651




"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
Maria Ya

"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
        CARMEN NAVARRO
      
 please, we would need keep in contact with ford headquearter.  thank you

"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
        Michael Czapla
      
 Please make a car without a steering wheel. I'm a commuter, not a driver."
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
        Hannah Gibbons
      
 This is really exciting. I like the prospect of my car being able to order me take away, I would make full use of that functionality!





"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
        Calvin J. Johnson
      
 How about just concentrating on a dependable auto at a reasonable price! My wife can choose the songs and tell jokes just fine! 😆😆😆😆




"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
        Stephen O'Neill
      
 Good to see they helping ease the challenge of people driving round in 4 metre long vehicles with only one person in it
    






"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
        Lyna Moeun
      
 create improve 

"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
        Peter Gold
      
 Did you know the pedestrians can have greater visibility prior to walking into the street by seeing my newest invention to allows view of the HIGH MOUNT SIDE DOOR DIRECTIONAL?  Did you also know that a cyclist in the city can now see a partially opened vehicle door at night over one thousand feet away prior to the vehicle door fully opened into the path of his bicycle ?  And the list goes on and on. 
It is time Ford Motor Company came up to my standards to allow people in Cities to get around more safety with my VEHICLE DOOR ACCIDENT AVOIDANCE SYSTEMS. 
What a clever idea, SEEING. 
"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
        Jamie Flanagan.
      
 A lot of self praising from FORD lately???


"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
        Melanie Keiffer DNP, ANP-BC
      
 Thank you Ford! Keep up the innovation!

"
" Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.
","
 
        Mohamed Hicham EL OUAAZIZI
      
 hi
"
" Why did the Ford cross the road? To help drive a world of mobility! Check out how we’re using technology to help create a new experience for all drivers.
","
 
        Warner Baxter
      
 Worth watching through to the end....way more than ""feel good"" event.....real contribution to success of young generation....good job by Danica too."
" Why did the Ford cross the road? To help drive a world of mobility! Check out how we’re using technology to help create a new experience for all drivers.
","
"
" Why did the Ford cross the road? To help drive a world of mobility! Check out how we’re using technology to help create a new experience for all drivers.
","
 
        simo boumlaik
      
 Snappit.mobi le premier logiciel pour la création des applications professionnelles permettant de réaliser facilement sans connaissances techniques.
http://www.snappit.mobi/"
" Why did the Ford cross the road? To help drive a world of mobility! Check out how we’re using technology to help create a new experience for all drivers.
","
 
        Bill Artzberger, LSSBB, PMP
      
 Excellent!  We all need to look for ways to engage girls (and boys) at a younger age to share our excitement about engineering and science.  Many are not choosing careers in engineering and science related fields simply because they have not been exposed to them and do not recognize how exciting they can be.  "
" Why did the Ford cross the road? To help drive a world of mobility! Check out how we’re using technology to help create a new experience for all drivers.
","
 
        Renato Principe
      
 Great insight!
"
" See how Ford is working with cities to help ease the challenges of everyday commutes.
","
 
     
 SEM? STEM? What is the meaning?
"
" See how Ford is working with cities to help ease the challenges of everyday commutes.
","
 
        Gary Dye
      
 Science, Technology, Engineering, Mathematics... to Science, Technology, Engineering, Arts, Mathematics, Encouraging Girls in to Tech Great job guys, my daughter done a day at Ford Dunton Technical Centre, she loved it! STEM Learning UK "
" See how Ford is working with cities to help ease the challenges of everyday commutes.
","
 
        Janice Key
      
 Fantastic - Women of all ages need opportunities !"
" See how Ford is working with cities to help ease the challenges of everyday commutes.
","
 
        Bob Stomel
      
 Ford is awesome! Always about the future and the best and brightest!

"
" See how Ford is working with cities to help ease the challenges of everyday commutes.
","
 
     
 Hello! We are making model boards in this area need?
"
" See how Ford is working with cities to help ease the challenges of everyday commutes.
","
 
        Scott London
      
 It's Siegels for me!! Great food and service

"
" See how Ford is working with cities to help ease the challenges of everyday commutes.
","
  Ford Motor Company
      
 Will definitely have to check that one out!"
" See how Ford is working with cities to help ease the challenges of everyday commutes.
","
 
        Sandra Soliman
      
 Without a doubt Mati's Deli in Dearborn! 
"
" ICYMI: Danica Patrick officiated the Girls' Fast Track Races featuring four Girl Scouts – see her at Daytona 500!
","
 
        Linda Kozianowski
      
 Perfect!  I was just looking for great places to eat!
"
" ICYMI: Danica Patrick officiated the Girls' Fast Track Races featuring four Girl Scouts – see her at Daytona 500!
","
 
        Ford Motor Company
      
 Linda - I think you  have a nice list of places to choose from now!"
" ICYMI: Danica Patrick officiated the Girls' Fast Track Races featuring four Girl Scouts – see her at Daytona 500!
","
 
        Angela Wangbichler
      
 Well done, Ford Motor Company"
" From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!
","
 
        Carlos Fortunato
      
 Happy to be a Ford costumer."
" From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!
","
 
        Sarah MacDonald
      
 Fantastic initiative - something to be modeled"
" From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!
","
 
        Chris Whitney
      
 As always Ford leading the way!  Nice and proud to be associated with such a great company!"
" From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!
","
 
        Leonardo Torresan San Tana
      
 Fantastic! It means that irrespective difficult we have got, we can ride it out and show the world that in each human there is an infinite talent. When the opportunites come, it is showed."
" From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!
","
 
        Mark Addison
      
 Well done Ford Motor Company, with this valuable initiative."
" From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!
","
 
        Erdaw Miko
      
 Great!
"
" From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!
","
 
        Vaidyanathan.R Nathan
      
 Great

"
" Happy Friday! Is it lunch time yet? Check out 9 Epic Metro Detroit Delis You Should Visit! Share your favorites!!
","
 
        Sheryl Mcdaniel
      
 Wonderful, much needed

"
" Happy Friday! Is it lunch time yet? Check out 9 Epic Metro Detroit Delis You Should Visit! Share your favorites!!
","
 
        Faye Hyland
      
 Brilliant!!

"
" Happy Friday! Is it lunch time yet? Check out 9 Epic Metro Detroit Delis You Should Visit! Share your favorites!!
","
 
        Ankush kapoor
      
 please let me know the Concerned person or department for sponsorship for a road trip in my all new Ford. This will be a good marketing campaign for the company.

"
" Happy Friday! Is it lunch time yet? Check out 9 Epic Metro Detroit Delis You Should Visit! Share your favorites!!
","
 
        Bob Stomel
      
 I am so proud to be a Ford owner and shareholder. 

"
" Happy Friday! Is it lunch time yet? Check out 9 Epic Metro Detroit Delis You Should Visit! Share your favorites!!
","
 
        Santhosh Bathini
      
 Great and inspiring !!!"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Jain Monik
      
 chance for find the job in ahmedabhad in technical line diploma  & Iti the people tallent freely working atmosphere then 100% new innovative idea & get the job in the industry ."
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Chaopeng Song
      
 come on !
"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Tshepo Kealogile (CFP)
      
 Ford, where is the post for me?"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Ford Motor Company
      
 Tshepo, visit http://careers.ford.com today to find the right position for you. Good luck!
"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Arzu Budak
      
 very sympathetic :)



"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Frank Longo
      
 Dear Ford, I like for you to know: To eliminate the back exhaust fumes: is to prolong the exhaust pipes. If you tested the fumes are not inside when the car is not in motion. 
Thank you your 
Frank Longo
"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Derrick Brampton
      
 Ford has changed my life for the worst I will never invest my money into one of there new release vehicles again i purchased a 2016 Focus RS and now the 2017 focus RS is being built and is selling in many showrooms.But I'm told there are no spare parts available for the 2016 yet the 2017 is exactly the same 
I picked my car up June 18th 2016 and on 11th October 2016 I got cut off and ended up damaging the hub.My car went to Ford on October 12th 2016 and the dealership has now had it in there possession longer than I've had it in mine yet every 2 weeks I still have to make full payments for a car I don't have I just think it's dreadful how they can make the 2017 yet say there's no parts for the 2016 just ship me a hub from the factory it's not like it's going to halt production
…see more




"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Michael clay
      
 Now I would like to work here I'm a cherry picker forklift operator any takers at Ford motor truck plant in louisville Kentucky




Like

   Michael clay’s comment


Reply to Michael clay’s comment


Reply


1 Like

      1 Like on Michael clay’s comment
    
 
1 Reply

      1 Comment on Michael clay’s comment
    




5mo

Open options for Angela Wheeler’s comment





 


 
        Angela Wheeler
      
 If the plant is hiring, you'd probably start on the assembly line & then bid to be a driver. It's based upon seniority. Best wishes!

   "
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
  
 Looking forward to follow Ford's path to a transportation solution company.  And pretty excited how data and data analysis will support this...
"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 Excellent. That's the right way. Sustainable future for all countries. Go Further FORD!"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Peter Gold
      
 BASIC NEW KNOWLEDGE is what I create that is universal in new immediate applications to provide immediate results.  Example, making a turn at an intersection of a city seen by a motor vehicle should have a directional signal seen by a pedestrian PRIOR TO WALKING  IN TO THE PATH OF THE MOTOR VEHICLE.  
      Yes, my answers  are immediate, are all patented  work perfect and have been rejected by Ford Motor Company 
…see more



"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Timothy Crunk
      
 Speaking from experience.. this article is on point!!  I have been out of work, for a few months now, I feel the ebb and flow of this process. Some days are great, and you feel like this is the day!! Then there are stretches where you have little response to anything you do.  I know that in those times, I will do my greatest work in finding my next great adventure . I am still unemployed as of today, but with the right people looking to hire, I am hopeful that soon I will be part of a new team of like minded people!! Good luck to all looking for work
…see more




"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Ian Ross
      
 Resume; Check. Cover Letter; Check. Getting interviews; No problems. You've got the job, but we are going to pay you $15- $20k less to do the exact same type of job as before. Hmmm. You may take the job because you need it, but your mind is not on the job at hand, due to the fact your looking for work elsewhere. So do you hang out for that job? Or take the job and be miserable?"" Morale "" can you buy that at a chemist/drugstore? 

"
" Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.
","
 
        Jay McLeod
      
 Why does Ford continue to promote job hunting?  


"
